[2018-08-31T01:10:53.316] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36]
[2018-08-31T01:10:53.800] [INFO] default - [::1 POST /res/filelist 200 3ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36]
[2018-08-31T01:11:11.221] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 4ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36]
[2018-08-31T01:37:36.081] [INFO] default - [::1 GET /codeplay 301 1ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-08-31T01:37:36.145] [INFO] default - [undefined GET /codeplay/ 200 1ms][http://www.manykit.com/codeplay HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-08-31T01:39:00.138] [INFO] default - [::1 GET /res/verify 200 1ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-08-31T01:39:00.177] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-08-31T01:44:10.573] [INFO] default - [::1 GET /res/verify 200 1ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1]
[2018-08-31T01:44:10.651] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 3ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1]
[2018-08-31T06:15:00.932] [INFO] default - [::1 GET /res/verify 200 1ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1]
[2018-08-31T06:15:00.996] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 3ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1]
