[2018-09-05T02:41:42.837] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 93ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36]
[2018-09-05T02:41:42.879] [INFO] default - [::1 GET /res/verify 200 41ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36]
[2018-09-05T03:22:45.452] [INFO] default - [::1 GET /res/upload 500 2ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T03:31:28.947] [INFO] default - [::1 GET /res/verify 200 1ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-05T03:31:29.155] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 111ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-05T03:34:00.694] [INFO] default - [undefined GET /codeplay/static/js/vendor.6bd32029e07bdfba62d4.js.map 200 19ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T03:34:00.745] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/js/23.fff5b1dde1d1c88c3470.js.map 500 2ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T03:47:22.659] [INFO] default - [::1 GET /codeplay/static/js/app.31299bbc68668dcd61bc.js.map 500 2ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T04:01:07.657] [INFO] default - [undefined GET /codeplay/static/js/14.9bc30a22543b6733571a.js.map 200 3ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T04:02:49.337] [INFO] default - [undefined GET /codeplay/static/js/6.c55610ca1c8b8a8bbe0c.js.map 200 3ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T04:03:50.024] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/headPortraits/14QQ%E5%9B%BE%E7%89%8720180517172645.png 500 2ms][ HTTP/1.0 Googlebot-Image/1.0]
[2018-09-05T05:15:19.961] [INFO] default - [::ffff:209.17.96.226 GET / 500 2ms][ HTTP/1.1 Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)]
[2018-09-05T05:24:43.170] [INFO] default - [::1 GET /codeplay/static/headPortraits/11QQ%E5%9B%BE%E7%89%8720180517171931.png 500 2ms][ HTTP/1.0 Googlebot-Image/1.0]
[2018-09-05T07:09:46.101] [INFO] default - [undefined GET /static/qq/qqback.html 200 2ms][http://manykit.com HTTP/1.0 Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
[2018-09-05T07:09:46.712] [INFO] default - [undefined GET /codeplay/ 200 2ms][http://manykit.com HTTP/1.0 Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
[2018-09-05T07:10:00.486] [INFO] default - [::ffff:127.0.0.1 GET /model 301 1ms][http://manykit.com HTTP/1.0 Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
[2018-09-05T07:10:00.768] [INFO] default - [undefined GET /model/ 200 2ms][http://manykit.com/model HTTP/1.0 Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
[2018-09-05T07:10:01.320] [INFO] default - [::ffff:127.0.0.1 GET /codeplay 301 1ms][http://manykit.com HTTP/1.0 Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
[2018-09-05T07:10:01.600] [INFO] default - [undefined GET /codeplay/ 200 1ms][http://www.manykit.com/codeplay HTTP/1.0 Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
[2018-09-05T07:12:37.366] [INFO] default - [::ffff:127.0.0.1 GET /res/filelist?userid%3D1 500 2ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T07:45:56.613] [INFO] default - [undefined GET /codeplay/ 200 1ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:46:04.491] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/css/app.f54ad8521f980ae69d0ad7851cb8a9e8.css 200 6ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:46:05.127] [INFO] default - [undefined GET /codeplay/static/js/manifest.d7855d47704b221e233f.js 200 2ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:46:05.614] [INFO] default - [undefined GET /codeplay/static/js/app.65ec8eff021fac4626c3.js 200 2ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:46:06.503] [INFO] default - [undefined GET /codeplay/static/js/7.8e63ab0a5b1b68bf69a4.js 200 1ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:46:07.062] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/js/0.e3fa5179c068d692fa1e.js 200 5ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:46:12.518] [INFO] default - [::1 GET /res/verify 200 1ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-09-05T07:58:45.729] [INFO] default - [::ffff:127.0.0.1 GET /codeplay 301 1ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T07:58:45.801] [INFO] default - [undefined GET /codeplay/ 200 1ms][http://www.manykit.com/codeplay HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T09:38:39.144] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 1ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-05T09:38:39.324] [INFO] default - [::1 POST /res/filelist 200 96ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-05T09:52:17.354] [INFO] default - [undefined GET /codeplay/static/snap/playsnap.html 200 2ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-09-05T10:10:17.233] [INFO] default - [::1 GET /res/verify 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:10:17.334] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 103ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:10:17.469] [INFO] default - [::1 POST /res/filelist 200 233ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:00.689] [INFO] default - [::ffff:127.0.0.1 POST /res/getfile 200 15ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:00.695] [INFO] default - [::1 POST /res/filelist 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:00.844] [INFO] default - [undefined POST /res/getfile 200 150ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:00.975] [INFO] default - [undefined GET /res/verify 304 1ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:01.022] [INFO] default - [::1 POST /res/filelist 200 50ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:01.554] [INFO] default - [undefined GET /res/verify 304 1ms][http://localhost:8080/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:02.045] [INFO] default - [undefined POST /res/getfile 200 175ms][http://localhost:8080/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:05.457] [INFO] default - [::1 POST /res/filelist 200 120ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:09.461] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 73ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:09.463] [INFO] default - [undefined GET /res/verify 304 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:09.562] [INFO] default - [::1 POST /res/filelist 200 173ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:11.816] [INFO] default - [::1 POST /res/getfile 200 13ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:12.119] [INFO] default - [undefined GET /res/verify 304 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:12.155] [INFO] default - [::1 POST /res/filelist 200 35ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:12.269] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 154ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:12.385] [INFO] default - [undefined GET /res/verify 304 2ms][http://localhost:8080/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:12.418] [INFO] default - [::ffff:127.0.0.1 POST /res/getfile 200 301ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:12.876] [INFO] default - [undefined POST /res/getfile 200 195ms][http://localhost:8080/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:14.831] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 98ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:16.459] [INFO] default - [::1 POST /res/filelist 200 41ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:17.599] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 98ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:18.707] [INFO] default - [::1 POST /res/filelist 200 35ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:59.758] [INFO] default - [undefined GET /res/verify 304 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:59.855] [INFO] default - [::1 POST /res/filelist 200 98ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:12:59.971] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 209ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:13:03.034] [INFO] default - [::1 POST /res/getfile 200 1ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:13:03.296] [INFO] default - [undefined GET /res/verify 304 1ms][http://localhost:8080/static/snap/pxsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:15:28.586] [INFO] default - [::1 POST /res/filelist 200 102ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:15:28.755] [INFO] default - [undefined GET /res/verify 304 4ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-09-05T10:15:32.872] [INFO] default - [::1 GET /res/logout 200 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
