[2018-10-04T00:05:39.217] [INFO] default - [::ffff:127.0.0.1 GET /model 301 1ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-10-04T00:05:39.286] [INFO] default - [undefined GET /model/ 200 2ms][http://www.manykit.com/model HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-10-04T00:45:19.344] [INFO] default - [undefined GET /model/ 200 2ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:20.991] [INFO] default - [undefined GET /model/static/js/vendor.0437df50d3fbb8bf32f8.js 200 201ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:24.082] [INFO] default - [undefined GET /model/static/css/app.b1626dbfe0e4e0f0074cc5225d242494.css 200 114ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:24.136] [INFO] default - [undefined GET /model/static/js/manifest.0ecb24c1e9ce5372a1b4.js 200 36ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:25.342] [INFO] default - [undefined GET /model/static/js/app.7ce6592f211aa931aa58.js 200 69ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:27.820] [INFO] default - [undefined GET /model/static/js/5.63f7eb38bcb6a4b790e5.js 200 37ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:28.875] [INFO] default - [undefined GET /model/static/js/0.99d63549bc2dce53da4c.js 200 31ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:29.760] [INFO] default - [::1 GET /res/verify 200 1ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
[2018-10-04T00:45:32.056] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 74ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)]
