[2018-11-01T01:56:13.940] [INFO] default - [::1 POST /api/material/modulelist 200 5ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-01T01:56:14.358] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 192ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-01T01:56:21.485] [INFO] default - [::1 GET /res/verify 200 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-01T05:10:31.067] [INFO] default - [undefined GET /codeplay/ 200 9ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2165.561 Mobile Safari/537.36]
[2018-11-01T05:10:31.083] [INFO] default - [::ffff:127.0.0.1 GET /model 301 30ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.8236.988 Mobile Safari/537.36]
[2018-11-01T05:10:31.190] [INFO] default - [undefined GET /model/ 200 20ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.8236.988 Mobile Safari/537.36]
[2018-11-01T05:10:32.630] [INFO] default - [::1 POST /api/material/modulelist 200 5ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.7764.836 Mobile Safari/537.36]
[2018-11-01T05:10:32.931] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 191ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.7764.836 Mobile Safari/537.36]
[2018-11-01T05:10:32.963] [INFO] default - [::1 POST /api/material/modulelist 200 9ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.6595.430 Mobile Safari/537.36]
[2018-11-01T05:10:33.202] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 143ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.6595.430 Mobile Safari/537.36]
[2018-11-01T05:10:33.367] [INFO] default - [::1 GET /res/verify 200 1ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.7764.836 Mobile Safari/537.36]
[2018-11-01T05:10:33.433] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 200 2ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.4795.508 Mobile Safari/537.36]
[2018-11-01T05:10:33.664] [INFO] default - [::1 POST /res/filelist 200 154ms][http://manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.4795.508 Mobile Safari/537.36]
[2018-11-01T05:10:33.702] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.6595.430 Mobile Safari/537.36]
