[2018-11-02T03:08:13.472] [INFO] default - [::ffff:93.174.95.106 GET / 500 17ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36]
[2018-11-02T03:08:27.741] [INFO] default - [::ffff:93.174.95.106 GET /favicon.ico 500 2ms][ HTTP/1.1 python-requests/2.13.0]
[2018-11-02T03:29:22.206] [INFO] default - [::1 POST /api/material/modulelist 200 235ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T03:29:22.754] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 414ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T03:29:31.335] [INFO] default - [::1 GET /res/verify 200 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T05:19:10.668] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 200 22ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T05:19:11.005] [INFO] default - [::1 POST /res/filelist 200 203ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T05:19:11.564] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T09:47:36.638] [INFO] default - [::1 POST /api/material/modulelist 200 4ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T09:47:37.002] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 194ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-11-02T10:08:22.293] [INFO] default - [::1 POST /api/material/modulelist 200 61ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:22.585] [INFO] default - [::1 POST /res/filelist 200 194ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:22.589] [INFO] default - [::ffff:127.0.0.1 GET /static/images/91bb86b0-d02a-11e8-b472-73f501acc6c4fjyFvO.png 200 195ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:22.592] [INFO] default - [::ffff:127.0.0.1 GET /static/images/c39c4650-d02b-11e8-b472-73f501acc6c420UVPU.png 200 229ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:22.639] [INFO] default - [::ffff:127.0.0.1 GET /static/images/5e784bd0-ceb3-11e8-b0dd-b59eb6c2d87fVJGdhz.png 200 245ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:22.646] [INFO] default - [undefined GET /static/images/f963b600-d02c-11e8-8f91-455df81aec64XDgqFR.png 200 18ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:22.654] [INFO] default - [::1 GET /static/images/4405ba30-d02a-11e8-b472-73f501acc6c4QdUhWK.png 200 260ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:23.283] [INFO] default - [undefined GET /res/verify 304 5ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-02T10:08:25.341] [INFO] default - [undefined GET /codeplay/ 304 15ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
