[2018-11-04T04:22:16.937] [INFO] default - [::ffff:107.170.219.107 GET / 500 4ms][ HTTP/1.1 Mozilla/5.0 zgrab/0.x]
[2018-11-04T08:57:58.935] [INFO] default - [undefined GET /toycar/ 200 3ms][ HTTP/1.0 Mozilla/5.0 (compatible; tracemyfile/1.0)]
[2018-11-04T09:41:31.463] [INFO] default - [::1 POST /api/material/modulelist 500 9ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/64.0.3282.119 Safari/537.36]
[2018-11-04T09:41:32.034] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 171ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/64.0.3282.119 Safari/537.36]
[2018-11-04T09:41:33.410] [INFO] default - [::1 GET /res/verify 200 2ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/64.0.3282.119 Safari/537.36]
[2018-11-04T10:51:30.950] [INFO] default - [undefined GET /codeplay/ 200 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-11-04T10:54:12.906] [INFO] default - [210.152.243.180 POST /api/material/modulelist 500 4ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/41.0.2272.118 Safari/537.36]
[2018-11-04T10:54:13.274] [INFO] default - [210.152.243.180 POST /res/filelist 200 156ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/41.0.2272.118 Safari/537.36]
[2018-11-04T13:52:05.728] [INFO] default - [undefined GET /codeplay/static/snap/playersharesnap.html 304 1ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:05.882] [INFO] default - [undefined GET /codeplay/static/snap/manykit/jquery-3.2.1.min.js 200 4ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.354] [INFO] default - [undefined GET /codeplay/static/snap/widgets.js 200 1ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.359] [INFO] default - [undefined GET /codeplay/static/snap/manykit/blocks.js 200 2ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.395] [INFO] default - [undefined GET /codeplay/static/snap/blocks.js 200 33ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.395] [INFO] default - [undefined GET /codeplay/static/snap/morphic.js 200 35ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.448] [INFO] default - [undefined GET /codeplay/static/snap/manykit/arduino.js 200 2ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.568] [INFO] default - [undefined GET /codeplay/static/snap/threads.js 200 3ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:06.914] [INFO] default - [undefined GET /codeplay/static/snap/manykit/threads.js 200 1ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:07.007] [INFO] default - [undefined GET /codeplay/static/snap/objects.js 200 8ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:07.088] [INFO] default - [undefined GET /codeplay/static/snap/manykit/objects.js 200 2ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:07.211] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/snap/gui.js 200 4ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:07.691] [INFO] default - [undefined GET /codeplay/static/snap/manykit/playersharegui.js 200 4ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:07.762] [INFO] default - [undefined GET /codeplay/static/snap/paint.js 200 2ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:07.779] [INFO] default - [undefined GET /codeplay/static/snap/lists.js 200 3ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
