[2018-11-05T02:12:52.311] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 6ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/64.0.3282.119 Safari/537.36]
[2018-11-05T02:12:52.826] [INFO] default - [::1 POST /res/filelist 200 152ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/64.0.3282.119 Safari/537.36]
[2018-11-05T02:12:54.105] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/64.0.3282.119 Safari/537.36]
[2018-11-05T05:39:54.315] [INFO] default - [undefined GET /codeplay/ 200 3ms][ HTTP/1.0 Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)]
[2018-11-05T09:49:28.453] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 7ms][https://manykit.com/ HTTP/1.0 osee2unifiedRelease/1120 osee2unifiedReleaseVersion/4.26.3 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A366]
[2018-11-05T09:49:28.941] [INFO] default - [::1 POST /res/filelist 200 161ms][https://manykit.com/ HTTP/1.0 osee2unifiedRelease/1120 osee2unifiedReleaseVersion/4.26.3 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A366]
[2018-11-05T09:49:31.021] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][https://manykit.com/ HTTP/1.0 osee2unifiedRelease/1120 osee2unifiedReleaseVersion/4.26.3 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A366]
[2018-11-05T10:15:31.333] [INFO] default - [::1 POST /api/material/modulelist 500 5ms][https://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:15:31.923] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 162ms][https://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:15:34.469] [INFO] default - [::1 GET /res/verify 200 2ms][https://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:06.102] [INFO] default - [::ffff:127.0.0.1 GET /codeplay 301 1ms][ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:06.448] [INFO] default - [undefined GET /codeplay/ 200 3ms][ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:06.840] [INFO] default - [undefined GET /codeplay/static/js/manifest.bf27ebb7a9d868607c53.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:06.844] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/css/app.29d1e45f80fb43a80cdf1683a14d2db7.css 200 17ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:07.202] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/js/vendor.93538bf508ed5f4069e2.js 200 8ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:07.523] [INFO] default - [undefined GET /codeplay/static/js/app.b214dc3a1d874a29be87.js 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:11.359] [INFO] default - [undefined GET /codeplay/static/js/8.604ea9d35740161ac5ee.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:11.360] [INFO] default - [undefined GET /codeplay/static/js/6.de878bba405860d223d9.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:11.382] [INFO] default - [undefined GET /codeplay/static/js/0.aaa689a23396e7f20311.js 200 25ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:13.846] [INFO] default - [undefined GET /codeplay/static/right.png 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:13.847] [INFO] default - [undefined GET /codeplay/static/left-up.png 200 4ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:13.848] [INFO] default - [undefined GET /codeplay/static/img/book1.a3bcb0f.png 200 4ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:13.855] [INFO] default - [undefined GET /codeplay/static/1.png 200 14ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:14.140] [INFO] default - [undefined GET /res/verify 304 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:14.339] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 178ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:14.453] [INFO] default - [undefined GET /codeplay/static/img/shopbook.88b0b0d.png 200 7ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:14.564] [INFO] default - [::1 POST /res/filelist 200 120ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:14.776] [INFO] default - [undefined GET /codeplay/static/img/book4.ed62f8a.png 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:14.921] [INFO] default - [undefined GET /codeplay/static/img/book3.5c42697.png 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:15.079] [INFO] default - [undefined GET /codeplay/static/img/book2.7c65446.png 200 1ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:15.508] [INFO] default - [undefined GET /codeplay/static/img/qr_code01.1707b53.jpg 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:15.562] [INFO] default - [undefined GET /codeplay/static/img/qr_code02.f1cd7b4.jpg 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:17.072] [INFO] default - [undefined GET /codeplay/static/bianchengwan.ico 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:32.715] [INFO] default - [undefined GET /codeplay/static/js/5.2c46d3a024defeadd990.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:32.725] [INFO] default - [undefined GET /codeplay/static/js/7.177cce91856cb3b84339.js 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.312] [INFO] default - [undefined GET /res/verify 304 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.315] [INFO] default - [undefined GET /codeplay/static/snap/playsnap.html 200 8ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.317] [INFO] default - [undefined GET /codeplay/static/localpic.png 200 6ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.525] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 217ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.600] [INFO] default - [::1 POST /res/filelist 200 290ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.653] [INFO] default - [::1 POST /res/filelist 200 7ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.970] [INFO] default - [undefined GET /res/verify 304 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:33.983] [INFO] default - [::1 POST /res/getfile 200 674ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:34.100] [INFO] default - [undefined GET /codeplay/static/snap/manykit/jquery-3.2.1.min.js 200 42ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:34.167] [INFO] default - [undefined POST /res/getfile 200 373ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:34.298] [INFO] default - [undefined GET /codeplay/static/snap/widgets.js 200 1ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:34.311] [INFO] default - [::1 GET /codeplay/static/snap/morphic.js 200 19ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:34.659] [INFO] default - [undefined GET /codeplay/static/snap/blocks.js 200 7ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:34.728] [INFO] default - [undefined GET /codeplay/static/snap/manykit/blocks.js 200 1ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:35.047] [INFO] default - [undefined GET /codeplay/static/snap/manykit/arduino.js 200 3ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:35.052] [INFO] default - [undefined GET /codeplay/static/snap/threads.js 200 7ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:35.381] [INFO] default - [undefined GET /codeplay/static/snap/manykit/threads.js 200 2ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:35.703] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/snap/objects.js 200 3ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:35.933] [INFO] default - [undefined GET /codeplay/static/snap/manykit/objects.js 200 1ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.142] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/snap/gui.js 200 6ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.279] [INFO] default - [undefined GET /codeplay/static/snap/manykit/playergui.js 200 2ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.493] [INFO] default - [undefined GET /codeplay/static/snap/paint.js 200 1ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.650] [INFO] default - [undefined GET /codeplay/static/snap/byob.js 200 12ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.653] [INFO] default - [undefined GET /codeplay/static/snap/lists.js 200 4ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.989] [INFO] default - [undefined GET /codeplay/static/snap/tables.js 200 2ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
[2018-11-05T10:17:36.994] [INFO] default - [undefined GET /codeplay/static/snap/symbols.js 200 1ms][https://www.manykit.com/codeplay/static/snap/playsnap.html HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36]
