[2018-11-11T01:27:04.731] [INFO] default - [::1 GET /blockly 302 1ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:06.918] [INFO] default - [undefined GET /blockly/apps/px2blockly/index.html 200 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:42.062] [INFO] default - [undefined GET /blockly/arduino.js 200 16ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:43.396] [INFO] default - [undefined GET /blockly/apps/px2blockly/color.css 200 19ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:44.769] [INFO] default - [undefined GET /blockly/core/blockly.js 200 1ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:46.133] [INFO] default - [undefined GET /blockly/core/variables.js 200 15ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:47.340] [INFO] default - [undefined GET /blockly/apps/px2blockly/third_block.js 200 1ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:48.712] [INFO] default - [undefined GET /blockly/generators/arduino/logic.js 200 2ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:49.897] [INFO] default - [undefined GET /blockly/blocks/pins.js 200 11ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:51.094] [INFO] default - [undefined GET /blockly/generators/arduino/control.js 200 2ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T01:27:52.273] [INFO] default - [undefined GET /blockly/blocks/blockgroup.js 200 17ms][https://manykit.com/blockly/apps/px2blockly/index.html HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T03:59:33.652] [INFO] default - [::ffff:127.0.0.1 GET /model 301 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T03:59:34.700] [INFO] default - [undefined GET /model/ 200 1ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T04:00:42.872] [INFO] default - [::ffff:127.0.0.1 GET /res/upload 500 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T04:01:09.271] [INFO] default - [undefined GET /toycar/ 200 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T04:01:29.347] [INFO] default - [::ffff:127.0.0.1 GET /res/getfile 200 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T04:01:56.301] [INFO] default - [::1 GET /res/filelist 500 1ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-11T04:43:06.269] [INFO] default - [undefined GET /model/ 200 4ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.6219.683 Mobile Safari/537.36]
[2018-11-11T04:43:06.357] [INFO] default - [::1 GET /codeplay 301 3ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.4743.689 Mobile Safari/537.36]
[2018-11-11T04:43:06.565] [INFO] default - [undefined GET /codeplay/ 200 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.4743.689 Mobile Safari/537.36]
[2018-11-11T04:43:07.137] [INFO] default - [undefined GET /codeplay/ 200 1ms][ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.9716.703 Mobile Safari/537.36]
[2018-11-11T04:43:08.626] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 200 4ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.7385.309 Mobile Safari/537.36]
